calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle La Julieta;La Julieta;La;Julieta;2;Female;
Camino Santa Teresita - Peralta;Santa Teresita - Peralta;Santa;Teresita;2;Female;
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;
Calle Santa Paula;Santa Paula;Santa;Paula;2;Female;
Avenida Amelia;Amelia;Amelia;;2;Female;
Calle Piedades;Piedades;Piedades;;2;Female;
Calle Fátima;Fátima;Fátima;;2;Female;
Calle Sara Soto;Sara Soto;Sara;Soto;2;Female;
Calle Angélica;Angélica;Angélica;;2;Female;
Calle Angélica Norte;Angélica Norte;Angélica;Norte;2;Female;
Calle Higinia;Higinia;Higinia;;2;Female;
Calle Breña Mora;Breña Mora;Breña;Mora;2;Female;
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;
Boulevard Victoria;Victoria;Victoria;;2;Female;
Calle La Victoria;La Victoria;La;Victoria;2;Female;
Calle Paloma;Paloma;Paloma;;2;Female;
Boulevard Alcides Jiménez Rojas;Alcides Jiménez Rojas;Alcides;Jiménez;-2;Male;
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female;
Avenida Elena Lahmann de Rohrmoser;Elena Lahmann Rohrmoser;Elena;Lahmann;2;Female;
Calle Delfina;Delfina;Delfina;;2;Female;
Calle Isabel Agüero;Isabel Agüero;Isabel;Agüero;2;Female;
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Eduviges_de_Hesse-Darmstadt
Calle Carmen;Carmen;Carmen;;2;Female;
Calle Vica León;Vica León;Vica;León;2;Female;
Calle Pinar;Pinar;Pinar;;2;Female;
Calle Santa Teresa;Santa Teresa;Santa;Teresa;2;Female;
Calle Estéfana;Estéfana;Estéfana;;2;Female;
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;
Calle Trinidad;Trinidad;Trinidad;;2;Female;
Calle Eulalia;Eulalia;Eulalia;;2;Female;
Calle La Marta;La Marta;La;Marta;2;Female;
Quinta de Vanessa;Quinta de Vanessa;Quinta;de;2;Female;
Calle Santa Juana;Santa Juana;Santa;Juana;2;Female;
Calle Marisol;Marisol;Marisol;;2;Female;
Calle Margarita Rodríguez;Margarita Rodríguez;Margarita;Rodríguez;2;Female;
Calle La Mariana;La Mariana;La;Mariana;2;Female;
Calle Lourdes Cuadra;Lourdes Cuadra;Lourdes;Cuadra;2;Female;
Puente Yolanda Oreamuno;Yolanda Oreamuno;Yolanda;Oreamuno;2;Female;https://es.wikipedia.org/wiki/Yolanda_Oreamuno
Calle Luisa;Luisa;Luisa;;2;Female;
Calle Sor María Romero;Sor María Romero;Sor;María;2;Female;https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Romero-Lozada
Avenida Isabel La Católica;Isabel La Católica;Isabel;La;2;Female;https://es.wikipedia.org/wiki/Isabella_Cascarano
Calle Ligia Méndez;Ligia Méndez;Ligia;Méndez;2;Female;
Calle Damiana;Damiana;Damiana;;2;Female;
Calle Emma Gamboa;Emma Gamboa;Emma;Gamboa;2;Female;https://es.wikipedia.org/wiki/Emma_Gamboa_Alvarado
Calle Faustinoi Montes de Oca;Faustinoi Montes Oca;Faustinoi;Montes;2;Female;
Calle Viviana;Viviana;Viviana;;2;Female;
Sendero Micaela;Micaela;Micaela;;2;Female;
Calle Anita;Anita;Anita;;2;Female;
Calle Alice;Alice;Alice;;2;Female;
Calle Rafaela Madrigal;Rafaela Madrigal;Rafaela;Madrigal;2;Female;
Barrio Santa Lucia;Barrio Santa Lucia;Barrio;Santa;2;Female;
Calle Mercedes Valverde;Mercedes Valverde;Mercedes;Valverde;2;Female;
Calle Blanca Durán;Blanca Durán;Blanca;Durán;2;Female;
Calle Ingrid;Ingrid;Ingrid;;2;Female;
Calle Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;
Santa Barbara;Santa Barbara;Santa;Barbara;2;Female;
Calle Dina;Dina;Dina;;2;Female;
Calle La Petra;La Petra;La;Petra;2;Female;
La Carolina;La Carolina;La;Carolina;2;Female;
Urbanización Doña Flora;Urbanización Doña Flora;Urbanización;Doña;2;Female;
Calle La Valeria;La Valeria;La;Valeria;2;Female;
Calle Kiana;Kiana;Kiana;;2;Female;
Calle Jessenia Zamora;Jessenia Zamora;Jessenia;Zamora;2;Female;
Calle Toño Mora;Toño Mora;Toño;Mora;2;Female;
Calle la Emilia;la Emilia;la;Emilia;2;Female;
