calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle Asdrúbal Víquez;Asdrúbal Víquez;Asdrúbal;Víquez;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;
Calle Juan León;Juan León;Juan;León;-2;Male;
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;
Calle Paulino;Paulino;Paulino;;-2;Male;
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Calle Santiago Baudrit;Santiago Baudrit;Santiago;Baudrit;-2;Male;
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Jericó;Jericó;Jericó;;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Calle Vidal;Vidal;Vidal;;-2;Male;
Avenida El Cristóbal;El Cristóbal;El;Cristóbal;-2;Male;
Alameda Manuel María Gutiérrez;Alameda Manuel María Gutiérrez;Alameda;Manuel;-2;Male;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;
Alameda Wenceslao Argüello;Alameda Wenceslao Argüello;Alameda;Wenceslao;-2;Male;
Avenida Rafael Moya M.;Rafael Moya M.;Rafael;Moya;-2;Male;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento;Domingo;F.;-2;Male;
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;
Calle Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;
Calle Napoleón Quesada;Napoleón Quesada;Napoleón;Quesada;-2;Male;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
Calle Jesús;Jesús;Jesús;;-2;Male;
Calle Don Ricardo;Don Ricardo;Don;Ricardo;-2;Male;
Calle Rincón de Ricardo;Rincón Ricardo;Rincón;Ricardo;-2;Male;
Calle Félix A. Montero;Félix A. Montero;Félix;A.;-2;Male;
Avenida Cristóbal Colón;Cristóbal Colón;Cristóbal;Colón;-2;Male;
Calle Ignacio Bolaños;Ignacio Bolaños;Ignacio;Bolaños;-2;Male;
Calle Ramón Rodríguez;Ramón Rodríguez;Ramón;Rodríguez;-2;Male;
Avenida Jesús Jiménez;Jesús Jiménez;Jesús;Jiménez;-2;Male;
Avenida Gaspar Chacón;Gaspar Chacón;Gaspar;Chacón;-2;Male;
Calle Pedro León;Pedro León;Pedro;León;-2;Male;
Calle Don Pedro;Don Pedro;Don;Pedro;-2;Male;
Calle Alfonso;Alfonso;Alfonso;;-2;Male;
Calle Vinicio Zamora;Vinicio Zamora;Vinicio;Zamora;-2;Male;
Calle Fernando Ramírez;Fernando Ramírez;Fernando;Ramírez;-2;Male;
Calle Rómulo;Rómulo;Rómulo;;-2;Male;
Calle Víctor Carballo;Víctor Carballo;Víctor;Carballo;-2;Male;
Calle Agustín Valerio;Agustín Valerio;Agustín;Valerio;-2;Male;
Calle Lázaro;Lázaro;Lázaro;;-2;Male;
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;
Calle Lincoln;Lincoln;Lincoln;;-2;Male;
Calle Gonzalo Delgado;Gonzalo Delgado;Gonzalo;Delgado;-2;Male;
Calle Cristóbal;Cristóbal;Cristóbal;;-2;Male;
Calle Román;Román;Román;;-2;Male;
Calle Guillén;Guillén;Guillén;;-2;Male;
Calle Nardo Rivera;Nardo Rivera;Nardo;Rivera;-2;Male;
Calle Isidro;Isidro;Isidro;;-2;Male;
Calle San Gabriel;San Gabriel;San;Gabriel;-2;Male;
Puente Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle Dr. Carlos Durán;Dr. Carlos Durán;Dr.;Carlos;-2;Male;
Calle León Cortés;León Cortés;León;Cortés;-2;Male;
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;Ernesto;Rohrmoser;-2;Male;
Calle Alexander Von Humboldt;Alexander Von Humboldt;Alexander;Von;-2;Male;
Puente Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;
Calle Noé Marín;Noé Marín;Noé;Marín;-2;Male;
Calle Samuel Piano;Samuel Piano;Samuel;Piano;-2;Male;
Calle Juan Santana;Juan Santana;Juan;Santana;-2;Male;
Calle Jesús León;Jesús León;Jesús;León;-2;Male;
Calle Francisco Corrales;Francisco Corrales;Francisco;Corrales;-2;Male;
Calle Manuel Sandí;Manuel Sandí;Manuel;Sandí;-2;Male;
Calle Rodney Herrera;Rodney Herrera;Rodney;Herrera;-2;Male;
Calle Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;
Calzada Gastón Michelli;Gastón Michelli;Gastón;Michelli;-2;Male;
Avenida Ricardo Orfila;Ricardo Orfila;Ricardo;Orfila;-2;Male;
Calle Nazareno;Nazareno;Nazareno;;-2;Male;
Calle Claudio Rodríguez;Claudio Rodríguez;Claudio;Rodríguez;-2;Male;
Calle Justo Hernández;Justo Hernández;Justo;Hernández;-2;Male;
Calle Juan Martínez;Juan Martínez;Juan;Martínez;-2;Male;
Calle Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;
Calle San Diego;San Diego;San;Diego;-2;Male;
Calle San Carlos;San Carlos;San;Carlos;-2;Male;
Calle San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Calle Ricardo Solano;Ricardo Solano;Ricardo;Solano;-2;Male;
Calle Pancracio;Pancracio;Pancracio;;-2;Male;
Calle Maximiliano;Maximiliano;Maximiliano;;-2;Male;
Calle Celestino Elizondo;Celestino Elizondo;Celestino;Elizondo;-2;Male;
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;
C/ San Antonio;San Antonio;San;Antonio;-2;Male;
Sendero Playa Manuel Antonio Trail;Playa Manuel Antonio Trail;Playa;Manuel;-2;Male;
Calle San Ignacio;San Ignacio;San;Ignacio;-2;Male;
Calle Asdrúbal Mena;Asdrúbal Mena;Asdrúbal;Mena;-2;Male;
Calle Carlos Muñoz;Carlos Muñoz;Carlos;Muñoz;-2;Male;
Calle Gilberto Arrieta;Gilberto Arrieta;Gilberto;Arrieta;-2;Male;
Calle Terry;Terry;Terry;;-2;Male;
Calle Julio Argüello;Julio Argüello;Julio;Argüello;-2;Male;
Calle Cayo Morales;Cayo Morales;Cayo;Morales;-2;Male;
Calle Tobías Chaves;Tobías Chaves;Tobías;Chaves;-2;Male;
Calle Rodrigo Salas;Rodrigo Salas;Rodrigo;Salas;-2;Male;
Calle Guido Salazar;Guido Salazar;Guido;Salazar;-2;Male;
Calle San Jerónimo;San Jerónimo;San;Jerónimo;-2;Male;
Calle Luis Mora;Luis Mora;Luis;Mora;-2;Male;
Calle Rodolfo Ramírez;Rodolfo Ramírez;Rodolfo;Ramírez;-2;Male;
