calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;
Boulevard Lorenzo Tristán;Lorenzo Tristán;Lorenzo;Tristán;-2;Male;
Avenida Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male;
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male;
Calle Salvador;Salvador;Salvador;;-2;Male;
Avenida São Paulo;São Paulo;São;Paulo;-2;Male;
Calle Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;
Calle San Luis;San Luis;San;Luis;-2;Male;
Radial Francisco J. Orlich;Radial Francisco J. Orlich;Radial;Francisco;-2;Male;
Calle Ernesto Morera;Ernesto Morera;Ernesto;Morera;-2;Male;
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;
Calle Jeremías;Jeremías;Jeremías;;-2;Male;
Calle León Rojas;León Rojas;León;Rojas;-2;Male;
Calle Tobías Chaves;Tobías Chaves;Tobías;Chaves;-2;Male;
Calle Uriel González;Uriel González;Uriel;González;-2;Male;
Calle Rafael Monge;Rafael Monge;Rafael;Monge;-2;Male;
Calle Efraín Zamora;Efraín Zamora;Efraín;Zamora;-2;Male;
Calle Jerónimo Cubero;Jerónimo Cubero;Jerónimo;Cubero;-2;Male;
Calle Amado Campos;Amado Campos;Amado;Campos;-2;Male;
Calle Esteban;Esteban;Esteban;;-2;Male;
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;
Puente Rafael Yglesias Castro;Rafael Yglesias Castro;Rafael;Yglesias;-2;Male;
Calle Valerio;Valerio;Valerio;;-2;Male;
Calle Abel Rodríguez;Abel Rodríguez;Abel;Rodríguez;-2;Male;
Calle Maurilio Ramos;Maurilio Ramos;Maurilio;Ramos;-2;Male;
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;
Avenida Santiago;Santiago;Santiago;;-2;Male;
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle Asdrúbal Víquez;Asdrúbal Víquez;Asdrúbal;Víquez;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;
Calle Juan León;Juan León;Juan;León;-2;Male;
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;
Calle Paulino;Paulino;Paulino;;-2;Male;
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Calle Santiago Baudrit;Santiago Baudrit;Santiago;Baudrit;-2;Male;
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Jericó;Jericó;Jericó;;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Calle Vidal;Vidal;Vidal;;-2;Male;
Calle El Manú;El Manú;El;Manú;-2;Male;
Avenida El Cristóbal;El Cristóbal;El;Cristóbal;-2;Male;
Alameda Manuel María Gutiérrez;Alameda Manuel María Gutiérrez;Alameda;Manuel;-2;Male;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;
Alameda Wenceslao Argüello;Alameda Wenceslao Argüello;Alameda;Wenceslao;-2;Male;
Avenida Rafael Moya M.;Rafael Moya M.;Rafael;Moya;-2;Male;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento;Domingo;F.;-2;Male;
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
